"Id","username","V","aid","date","timestamp","vs"
"372572776","guidodevito","","464","2022-11-11","1668147651","U"
"1240280727331225603","GuidoDisalle","","32440","2022-11-10","1668078767","B"
"465973","GuidoFawkes","V","387805","2023-03-29","1680109634","B"
"734914127844499456","guidogonzalezok","","1096","2023-03-29","1680087131","B"
"979254515181514752","GuidoHansch","","377","2023-02-10","1676059460","B"
"135617102","guidohenderson","","857","2023-03-12","1678618115","B"
"35198214","GuidoLange","","819","2023-02-10","1676058891","B"
"1034333241732472832","guidomazzeiseo","","683","2023-03-15","1678863196","B"
"2546892248","guidoprincesa","","63047","2023-02-11","1676093418","B"
"22569440","GuidoRafael","","1285","2023-02-14","1676393983","B"
"4925231","guidorosso","","8486","2022-11-10","1668088343","B"
"1525047670103998465","guidosgold","","29","2023-04-12","1681301521","B"
"223217987","guidosirna","","1149","2023-04-01","1680324158","B"
"1591351998426877957","GuidoTheHare","","12","2023-02-18","1676739645","D"
"169586022","guidovacav","","3549","2023-04-04","1680651634","B"
"439457971","GuidoVin","","1754","2023-01-11","1673404672","B"
"196951097","guidozanon","","215","2023-03-16","1678975037","B"
"47598840","GuidReadsAlva","","6493","2023-03-04","1677939035","B"
"1323034219212349443","Guidry52048852","","388","2022-12-29","1672354818","B"
"1161759057616805889","guidusty","","15925","2023-03-11","1678540324","B"
"1237821292092567555","guiesports","","197","2023-02-28","1677590615","B"
"117715759","GuiFerrolli","","452","2023-03-22","1679445537","B"
"130466601","guifromrio","","520","2023-03-27","1679882558","B"
"574574817","GuiGab92","","20063","2023-02-24","1677258313","B"
"1103894304","guigadourado","","95","2023-01-13","1673588293","U"
"1535039906","guigamamorim","","5895","2023-04-12","1681301526","B"
"828707515","guigiralach20","","137","2023-04-07","1680840911","B"
"1132178978813485058","GuiGordon","","961","2023-02-18","1676739488","U"
"1588026456923250688","GuiGoumega","","7","2023-02-11","1676093363","B"
"635824954","guigrigollo","","1578","2023-02-21","1677010736","U"
"39323583","guigui1984","","72","2023-03-17","1679060674","U"
"1321148100065591296","GuiiiChM","","35","2023-02-16","1676528302","D"
"3153973322","GuiilaumeB","","383","2023-02-14","1676394046","U"
"1017107347636981760","guiille_cs","","53","2023-03-03","1677877285","B"
"440277597","Guiirierume_","","720","2023-03-04","1677939032","U"
"722113051349151749","guiivr","","1180","2022-12-30","1672434349","S"
"137548513","guil_lambert","","6453","2023-02-04","1675498519","B"
"709187032812224512","GuilbaultRenee","","3400","2022-12-27","1672179127","B"
"356580267","GuilberOliveira","","123","2023-04-12","1681275570","B"
"1563961200","guilbon","","3017","2023-03-24","1679663530","B"
"622142473","GuilDcqt","","13147","2023-03-02","1677766722","B"
"1345236397683216386","guildedjared","","358","2022-11-13","1668344327","U"
"758697725483515904","guildeu","","3783","2023-04-07","1680840890","B"
"112569398","guildgonewild","","314","2022-11-14","1668459664","U"
"90578892","GuildhallWM","","633","2022-12-22","1671700712","B"
"1276582480787787778","GuildHonolulu","","2459","2023-03-25","1679761195","B"
"1499782547831619586","GuildQB","","38218","2023-02-11","1676093299","B"
"1437601473064484871","GuildSaga","","17693","2023-01-28","1674868942","B"
"1581668092731707396","GuildSagaVW","","355","2023-03-17","1679060416","B"
"32097840","GuildWars2_DE","","20092","2023-03-18","1679155602","B"
"487871513","GuildWars2_ES","","15998","2023-03-22","1679469367","B"
"167451092","GuildWars2_FR","","16849","2023-03-18","1679155578","B"
"388984200","GUILDWRKSglobal","","1248","2023-01-11","1673471018","B"
"1436753470120415232","guildxyz","","87250","2023-03-25","1679761211","B"
"1266582765019037697","GuilefulSageZen","","17","2022-11-14","1668460328","B"
"1175805155197038592","guilerrrrrrme","","182","2023-02-18","1676739501","B"
"1543779208379469824","Guilhada","","29","2023-02-18","1676739624","U"
"1393920318734061572","guilhedemoraes","","1893","2023-02-14","1676393789","U"
"203939696","Guilheerme09","","48","2023-03-22","1679469263","S"
"1648300560","GuilheermeSilv4","","592","2023-02-18","1676739650","B"
"203932781","guilhemherail","","493","2022-11-11","1668139897","B"
